,BOROUGH,NEIGHBORHOOD,BUILDING.CLASS.CATEGORY,ADDRESS,ZIP.CODE,LAND.SQUARE.FEET,SALE.PRICE,SALE.DATE,Latitude,Longtitude
57,STATEN ISLAND,ANNADALE,ONE FAMILY,673 BARCLAY AVENUE,10312,4000.0,439000,2016-06-13,40.52653755,-74.1667117296
58,STATEN ISLAND,ANNADALE,ONE FAMILY,24 BENNETT PLACE,10312,12000.0,1175000,2016-04-05,40.52948195,-74.165235855
59,STATEN ISLAND,ANNADALE,ONE FAMILY,50 RYAN PLACE,10312,6000.0,630000,2016-06-20,40.52788695,-74.1671528242
60,STATEN ISLAND,ANNADALE,ONE FAMILY,64 RYAN PLACE,10312,7000.0,775000,2015-12-29,40.52758005,-74.166953451
61,STATEN ISLAND,ANNADALE,ONE FAMILY,541 BARCLAY AVENUE,10312,3960.0,609500,2015-12-10,40.52970735,-74.1688575867
62,STATEN ISLAND,ANNADALE,ONE FAMILY,291 SHIRLEY AVENUE,10312,4000.0,577500,2016-05-31,40.53227775,-74.1660336669
63,STATEN ISLAND,ANNADALE,ONE FAMILY,64 JANSEN STREET,10312,6000.0,614250,2016-02-17,40.53306285,-74.1668765062
64,STATEN ISLAND,ANNADALE,ONE FAMILY,491 BARCLAY AVENUE,10312,6180.0,975000,2015-11-20,40.53094805,-74.16958604
65,STATEN ISLAND,ANNADALE,ONE FAMILY,6 WINSLOW PLACE,10312,7301.0,651680,2016-07-28,40.5377147857,-74.1716449082
66,STATEN ISLAND,ANNADALE,ONE FAMILY,10 WINSLOW PLACE,10312,3442.0,646588,2016-07-05,40.5377362143,-74.1716592347
67,STATEN ISLAND,ANNADALE,ONE FAMILY,20 WINSLOW PLACE,10312,3442.0,636406,2016-07-29,40.5377897857,-74.171695051
68,STATEN ISLAND,ANNADALE,ONE FAMILY,32 WINSLOW PLACE,10312,3512.0,677136,2016-08-09,40.5378540714,-74.1717380306
69,STATEN ISLAND,ANNADALE,ONE FAMILY,26 WINSLOW PLACE,10312,3442.0,651680,2016-07-29,40.5378219286,-74.1717165408
70,STATEN ISLAND,ANNADALE,ONE FAMILY,30 WINSLOW PLACE,10312,3442.0,666953,2016-08-12,40.5378433571,-74.1717308673
71,STATEN ISLAND,ANNADALE,ONE FAMILY,139 TALLMAN STREET,10312,4000.0,558000,2016-04-05,40.534775,-74.1713149879
72,STATEN ISLAND,ANNADALE,ONE FAMILY,409 LIPSETT AVENUE,10312,4080.0,430000,2015-11-25,40.52682985,-74.16910575
73,STATEN ISLAND,ANNADALE,ONE FAMILY,10 ALLEN PLACE,10312,6000.0,500000,2016-08-15,40.52799875,-74.1693034518
74,STATEN ISLAND,ANNADALE,ONE FAMILY,274 BARCLAY AVENUE,10312,6000.0,769000,2015-11-02,40.5361633,-74.1734046612
75,STATEN ISLAND,ANNADALE,ONE FAMILY,5008 AMBOY ROAD,10312,15000.0,749000,2016-08-10,40.5358718,-74.1772580565
76,STATEN ISLAND,ANNADALE,ONE FAMILY,296 POILLON AVENUE,10312,4000.0,645000,2016-06-29,40.52757015,-74.1755716484
77,STATEN ISLAND,ANNADALE,ONE FAMILY,77 NICOLOSI LOOP,10312,14660.0,1500000,2016-02-08,40.5221876,-74.1760475805
78,STATEN ISLAND,ANNADALE,ONE FAMILY,349 ARBUTUS AVENUE,10312,1547.0,485000,2015-10-02,40.5252633179,-74.1796455453
79,STATEN ISLAND,ANNADALE,ONE FAMILY,205 ARBUTUS AVENUE,10312,20000.0,1170000,2015-12-03,40.5296028,-74.1809107559
80,STATEN ISLAND,ANNADALE,ONE FAMILY,203 ARBUTUS AVENUE,10312,20000.0,980000,2015-12-03,40.5298936,-74.1810513511
81,STATEN ISLAND,ANNADALE,ONE FAMILY,201 ARBUTUS AVENUE,10312,10195.0,450000,2016-04-11,40.5294107,-74.1821214023
82,STATEN ISLAND,ANNADALE,ONE FAMILY,135 ARBUTUS AVENUE,10312,4620.0,699000,2016-08-04,40.5309425,-74.1835306859
83,STATEN ISLAND,ANNADALE,TWO FAMILY,381 HAROLD AVENUE,10312,5032.0,996866,2016-03-11,40.5303796,-74.1639424985
84,STATEN ISLAND,ANNADALE,TWO FAMILY,385 HAROLD AVENUE,10312,5132.0,1002976,2016-04-06,40.5302240909,-74.1639871818
85,STATEN ISLAND,ANNADALE,TWO FAMILY,1160 ARDEN AVENUE,10312,19950.0,722500,2016-02-17,40.5420691429,-74.1715988571
86,STATEN ISLAND,ANNADALE,TWO FAMILY,128 FABIAN STREET,10312,5000.0,485000,2016-03-25,40.53976,-74.1742659
87,STATEN ISLAND,ANNADALE,TWO FAMILY,1020 ARDEN AVENUE,10312,5670.0,824782,2016-06-24,40.5438981,-74.1759185103
88,STATEN ISLAND,ANNADALE,TWO FAMILY,16 JEANNETTE AVENUE,10312,4000.0,804146,2016-05-20,40.543376,-74.1763935
89,STATEN ISLAND,ANNADALE,TWO FAMILY,20 JEANNETTE AVENUE,10312,4000.0,793216,2016-05-23,40.5433214286,-74.1762707857
90,STATEN ISLAND,ANNADALE,TWO FAMILY,25 LORRAINE AVENUE,10312,4000.0,794233,2016-02-18,40.5421748,-74.17639895
91,STATEN ISLAND,ANNADALE,TWO FAMILY,21 LORRAINE AVENUE,10312,4000.0,793216,2015-10-22,40.5414715493,-74.176174034
92,STATEN ISLAND,ANNADALE,TWO FAMILY,182 STAFFORD AVENUE,10312,,935771,2016-08-08,40.5476052963,-74.1860896296
93,STATEN ISLAND,ANNADALE,TWO FAMILY,178 STAFFORD AVENUE,10312,14000.0,935771,2016-08-23,40.54782965,-74.185708288
94,STATEN ISLAND,ANNADALE,TWO FAMILY,174 STAFFORD AVENUE,10312,,935771,2016-08-05,40.5478454444,-74.1858844444
95,STATEN ISLAND,ANNADALE,TWO FAMILY,224 VINELAND AVENUE,10312,5000.0,906242,2015-11-03,40.5480081,-74.1868693
96,STATEN ISLAND,ANNADALE,TWO FAMILY,163 STAFFORD AVENUE,10312,4000.0,705000,2015-10-15,40.5484235,-74.18585365
97,STATEN ISLAND,ANNADALE,TWO FAMILY,179 VINELAND AVENUE,10312,2900.0,603050,2016-09-08,40.5490863,-74.1863770377
98,STATEN ISLAND,ANNADALE,TWO FAMILY,185 VINELAND AVENUE,10312,8000.0,732000,2015-12-09,40.548933,-74.1865277613
99,STATEN ISLAND,ANNADALE,TWO FAMILY,7 FORNES PLACE,10312,6998.0,1040000,2016-05-27,40.53802875,-74.1755228631
100,STATEN ISLAND,ANNADALE,TWO FAMILY,28 FURMAN STREET,10312,10360.0,865000,2015-11-19,40.5367511,-74.1787646993
101,STATEN ISLAND,ANNADALE,TWO FAMILY,970 ANNADALE ROAD,10312,9135.0,622000,2016-04-18,40.53808485,-74.1788680448
102,STATEN ISLAND,ANNADALE,TWO FAMILY,63 TENAFLY PLACE,10312,4699.0,778961,2015-10-29,40.5377790242,-74.180163321
103,STATEN ISLAND,ANNADALE,TWO FAMILY,76 JEFFERSON BOULEVARD,10312,6000.0,481650,2015-12-30,40.5424262,-74.1789108988
104,STATEN ISLAND,ANNADALE,TWO FAMILY,252 IONIA AVENUE,10312,4000.0,748413,2015-10-01,40.5431245789,-74.1821245789
105,STATEN ISLAND,ANNADALE,TWO FAMILY,286 JEFFERSON BOULEVARD,10312,6000.0,775000,2016-04-20,40.54546225,-74.1840569433
106,STATEN ISLAND,ANNADALE,TWO FAMILY,287 RENSSELAER AVENUE,10312,4000.0,490000,2015-11-19,40.5450498,-74.1854190118
107,STATEN ISLAND,ANNADALE,TWO FAMILY,175 SINCLAIR AVENUE,10312,4000.0,755000,2016-06-22,40.5466056466,-74.1861046666
108,STATEN ISLAND,ANNADALE,TWO FAMILY,179 SINCLAIR AVENUE,10312,4000.0,775000,2015-12-09,40.546575,-74.1863322975
109,STATEN ISLAND,ANNADALE,TWO FAMILY,766 WOODROW ROAD,10312,10143.0,685000,2015-10-27,40.54684625,-74.191014409
110,STATEN ISLAND,ANNADALE,TWO FAMILY,261 SOUTH RAILROAD ST,10312,3952.0,655000,2015-10-21,40.5376895,-74.1860918481
111,STATEN ISLAND,ANNADALE,TWO FAMILY,208 NORTH RAILROAD ST,10312,4000.0,630000,2015-12-11,40.5385069,-74.18571745
112,STATEN ISLAND,ANNADALE,TWO FAMILY,462 SHELDON AVENUE,10312,12000.0,970000,2016-07-28,40.54259855,-74.1903786583
113,STATEN ISLAND,ANNADALE,TWO FAMILY,4774 HYLAN BOULEVARD,10312,4002.0,525000,2016-01-22,40.5274175,-74.1652014
114,STATEN ISLAND,ANNADALE,TWO FAMILY,36 PEARE PLACE,10312,5000.0,655000,2016-02-01,40.52851805,-74.1665944479
115,STATEN ISLAND,ANNADALE,TWO FAMILY,4795 HYLAN BOULEVARD,10312,4040.0,620000,2015-12-10,40.5276303,-74.1662227333
116,STATEN ISLAND,ANNADALE,TWO FAMILY,639 BARCLAY AVENUE,10312,2280.0,385000,2016-08-16,40.5272038,-74.16724285
117,STATEN ISLAND,ANNADALE,TWO FAMILY,639 BARCLAY AVENUE,10312,2280.0,295000,2016-04-13,40.5272038,-74.16724285
118,STATEN ISLAND,ANNADALE,TWO FAMILY,581 BARCLAY AVENUE,10312,6000.0,780000,2016-04-27,40.52865505,-74.1681220681
119,STATEN ISLAND,ANNADALE,TWO FAMILY,180 LENZIE STREET,10312,6205.0,720000,2016-05-17,40.5305031,-74.1663500975
120,STATEN ISLAND,ANNADALE,TWO FAMILY,191 BOARDWALK AVENUE,10312,12313.0,1450000,2016-07-21,40.524521,-74.16799
121,STATEN ISLAND,ANNADALE,TWO FAMILY,29 OCEANVIEW AVENUE,10312,4800.0,420000,2015-10-23,40.52595465,-74.1678930014
122,STATEN ISLAND,ANNADALE,TWO FAMILY,433 LIPSETT AVENUE,10312,6103.0,845147,2016-02-02,40.5261274,-74.1685525191
123,STATEN ISLAND,ANNADALE,TWO FAMILY,628 BARCLAY AVENUE,10312,6000.0,840000,2016-07-15,40.52722545,-74.1678141894
124,STATEN ISLAND,ANNADALE,TWO FAMILY,4867 HYLAN BOULEVARD,10312,4400.0,745868,2016-02-23,40.5480884,-74.1392645
126,STATEN ISLAND,ANNADALE,TWO FAMILY,361 KINGHORN STREET,10312,4000.0,697500,2016-05-20,40.52856905,-74.1693501569
127,STATEN ISLAND,ANNADALE,TWO FAMILY,65 TYNDALE STREET,10312,6155.0,350000,2015-10-08,40.5293244,-74.1692613472
128,STATEN ISLAND,ANNADALE,TWO FAMILY,156 LIPSETT AVENUE,10312,6000.0,695000,2015-11-10,40.5331471,-74.1735675925
129,STATEN ISLAND,ANNADALE,TWO FAMILY,35 RAE AVENUE,10312,4000.0,720000,2015-10-29,40.5365911,-74.1741293505
130,STATEN ISLAND,ANNADALE,TWO FAMILY,11 RAE AVENUE,10312,4000.0,565000,2015-10-07,40.5371407,-74.17445675
131,STATEN ISLAND,ANNADALE,TWO FAMILY,88 NEWTON STREET,10312,4000.0,789041,2016-02-12,40.5275843878,-74.1735037449
132,STATEN ISLAND,ANNADALE,TWO FAMILY,310 PHILIP AVENUE,10312,6000.0,950000,2016-02-29,40.52803865,-74.176942998
133,STATEN ISLAND,ANNADALE,TWO FAMILY,24 COTTONTAIL COURT,10312,10440.0,1215000,2016-07-06,40.5349829,-74.179775575
134,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,84 GARY STREET,10312,2700.0,465000,2015-10-16,40.5610971,-74.1812137
135,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,93 GARY STREET,10312,2600.0,60000,2016-04-16,40.56144885,-74.18156255
136,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,121 WOODROW ROAD,10312,4000.0,380000,2016-08-15,40.56187925,-74.1810541416
137,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,21 BILLINGS STREET,10312,2500.0,526435,2015-10-20,40.56193475,-74.1811906146
138,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,163 KENILWORTH AVENUE,10312,3500.0,600767,2015-10-16,40.5623043333,-74.18264
139,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,159 KENILWORTH AVENUE,10312,2500.0,529490,2016-02-09,40.5623382593,-74.1826462222
140,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,29 CHATHAM STREET,10312,1400.0,375000,2015-12-21,40.5628774,-74.18169455
141,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,127 KENILWORTH AVENUE,10312,1135.0,350000,2015-12-10,40.5628875,-74.18260725
142,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,41 CHATHAM STREET,10312,1400.0,410000,2016-08-05,40.5628384,-74.1820427185
143,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,14 BENSON STREET,10312,2000.0,457500,2016-02-12,40.5646337,-74.1817277459
144,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,27 BENSON STREET,10312,2488.0,318000,2016-03-28,40.56496665,-74.18214035
145,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,1282 ARTHUR KILL ROAD,10312,3108.0,425000,2016-02-10,40.56519775,-74.183056145
146,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,8 BENSON STREET,10312,2200.0,375000,2015-10-26,40.5646506,-74.1815765
147,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,18 KENILWORTH AVENUE,10312,1545.0,150000,2016-07-15,40.56511735,-74.1835767929
148,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,82 KENILWORTH AVENUE,10312,1230.0,355000,2016-05-31,40.5638505,-74.183319103
149,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,110 KENILWORTH AVENUE,10312,1275.0,336000,2016-03-31,40.5631444,-74.1831731532
150,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,361 WOODROW ROAD,10312,5400.0,487000,2016-01-25,40.5562324,-74.1825035595
151,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,159 PRESENTATION CIRCLE,10312,1972.0,499999,2016-06-16,40.5551402,-74.1844239
152,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,149 PRESENTATION CIRCLE,10312,3863.0,567000,2015-12-16,40.5551402,-74.1844239
153,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,109 PRESENTATION CIRCLE,10312,3492.0,565000,2016-01-08,40.5551402,-74.1844239
154,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,325 ASPEN KNOLLS WAY,10312,500.0,248430,2015-10-15,40.5622851,-74.1833632368
155,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,171 ASPEN KNOLLS WAY,10312,500.0,235000,2015-11-05,40.56253475,-74.1838722804
156,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,203 ASPEN KNOLLS WAY,10312,500.0,279000,2016-08-12,40.5629866,-74.1840054078
157,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,23 BIANCA COURT,10312,353.0,238500,2016-08-04,40.5646917,-74.1844619718
158,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,48 ILYSSA WAY,10312,560.0,312000,2015-12-11,40.5604183,-74.1813854988
159,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,60 ILYSSA WAY,10312,500.0,278300,2015-12-07,40.56044775,-74.18164815
160,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,86 ILYSSA WAY,10312,560.0,305000,2015-10-05,40.56035685,-74.1820499346
161,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,166 ILYSSA WAY,10312,500.0,212940,2016-03-16,40.56020735,-74.18331805
162,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,202 ILYSSA WAY,10312,560.0,300000,2016-03-07,40.56020585,-74.183973973
163,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,216 ILYSSA WAY,10312,560.0,220000,2015-11-06,40.5600039,-74.1841626671
164,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,228 ILYSSA WAY,10312,500.0,272000,2015-12-21,40.56016835,-74.184334173
165,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,236 ILYSSA WAY,10312,560.0,349999,2015-12-03,40.56004775,-74.1843510851
166,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,382 ILYSSA WAY,10312,560.0,315000,2016-06-06,40.55977765,-74.1863259961
167,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,402 ILYSSA WAY,10312,560.0,180000,2016-02-26,40.5598123,-74.1865907095
168,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,486 ILYSSA WAY,10312,560.0,327000,2016-07-29,40.5606024,-74.1870257201
169,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,668 ILYSSA WAY,10312,560.0,335000,2016-06-16,40.56278895,-74.1872536539
170,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,674 ILYSSA WAY,10312,565.0,268500,2016-01-26,40.5628401,-74.1874029
171,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,708 ILYSSA WAY,10312,500.0,260000,2015-11-05,40.56338555,-74.1873410026
172,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,348 ASPEN KNOLLS WAY,10312,560.0,305000,2016-02-26,40.56199355,-74.1838904
173,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,246 JAMIE LANE,10312,560.0,320000,2016-06-15,40.56181505,-74.1840683461
174,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,186 JAMIE LANE,10312,560.0,330000,2016-06-14,40.5619925,-74.1848256345
175,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,232 ASPEN KNOLLS WAY,10312,500.0,280000,2015-10-20,40.56263755,-74.1847377203
176,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,40 JAMIE LANE,10312,560.0,320000,2015-11-16,40.56299985,-74.1847542918
177,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,214 ASPEN KNOLLS WAY,10312,560.0,292000,2016-03-17,40.56302165,-74.1845925
178,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,733 ILYSSA WAY,10312,560.0,315000,2016-07-21,40.5637844,-74.186933215
179,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,627 ILYSSA WAY,10312,500.0,269900,2016-05-19,40.56223965,-74.1867397736
180,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,569 ILYSSA WAY,10312,353.0,192500,2016-03-08,40.5616593,-74.1865725567
181,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,553 ILYSSA WAY,10312,500.0,254500,2016-04-28,40.5614269,-74.18675645
182,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,233 EMILY LANE,10312,560.0,315000,2016-08-22,40.561575,-74.1863467109
183,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,211 EMILY LANE,10312,500.0,255000,2015-10-09,40.56161315,-74.1860057296
184,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,185 EMILY LANE,10312,560.0,310000,2016-06-27,40.56138025,-74.1858062674
185,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,97 JAMIE LANE,10312,500.0,258000,2015-10-15,40.56307765,-74.1853490708
186,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,63 JAMIE LANE,10312,353.0,220000,2016-06-24,40.56328565,-74.1851513039
187,STATEN ISLAND,ARDENHEIGHTS,ONE FAMILY,49 JAMIE LANE,10312,353.0,215000,2016-07-29,40.56331115,-74.1848826732
